"日期","动画","番剧","国创","音乐","舞蹈","游戏","科技","生活","鬼畜","时尚","广告","娱乐","影视","放映厅"
"2012年3月16日",222255530,594406892,6670745,240062807,43847029,211074040,3960999,231396209,115508243,0,99888,294188,3839336,4398371
"2012年3月17日",222767351,594714992,6671820,240466700,43884920,212171069,3963016,232229553,115603898,0,99888,294188,3839336,4398371
"2012年3月18日",223229228,595522556,6671820,241602377,43967950,212665978,3997324,232826697,115687927,0,99888,310913,3839336,4442669
"2012年3月19日",223608495,595913573,6691131,242084862,44033950,213314978,3997324,233119138,115730140,0,99888,316307,3840484,4442669
"2012年3月20日",224193945,596531710,6694317,242397361,44168768,214113331,4002390,233285657,115773262,0,99888,316307,3840484,4442669
"2012年3月21日",224526946,598037079,6703062,242832409,44223281,214312257,4010510,233560697,115790666,0,99888,316307,3840484,4607271
"2012年3月22日",224936246,598210960,6703608,243130015,44365308,215194122,4010510,234149698,115863150,0,99888,316307,3840484,4607271
"2012年3月23日",225329553,598734502,6708503,243970118,44463488,215783251,4010510,234444321,115988659,0,99888,316307,3840484,4607271
"2012年3月24日",225768039,599008617,6709719,244339855,44568429,216459879,4032173,234777740,116046266,0,99888,316307,3840484,4607271
"2012年3月25日",226329364,600389563,6709719,244616041,44591885,216841698,4040896,235386649,116172346,0,99888,316307,3840484,4617513
"2012年3月26日",226599998,600641858,6711554,244826417,44722241,217359855,4040896,235858986,116267122,0,99888,316307,3842089,4617513
"2012年3月27日",227513873,601401871,6738456,245646537,44750210,218172094,4048782,236531992,116340974,0,99888,316307,3842089,4640021
"2012年3月28日",227884384,601717696,6784158,246050226,44921427,218631516,4048782,236958410,116360463,0,99888,316307,3843623,4640021
"2012年3月29日",228092899,602483115,6784158,247364268,45019532,218986638,4050457,237292479,116414347,0,99888,316307,3843623,4640021
"2012年3月30日",229156837,604379811,6784158,247763102,45091554,219873642,4054407,238077497,117262925,0,99888,316307,3843623,4640021
"2012年3月31日",229591584,604623486,6787510,248460876,45105061,220358585,4054407,238535809,117323752,0,99888,316307,3844870,4640021
"2012年4月1日",230194976,605299235,6787510,249243004,45139413,221075548,4054407,239299477,118099490,0,99888,316307,3844870,4640021
"2012年4月2日",230648095,605851162,6787510,249632676,45802010,221782477,4054407,240380234,118394935,0,99888,316307,3844870,4709841
"2012年4月3日",231050933,606156561,6795159,250202508,45977474,222308813,4088064,240900305,118618838,0,99888,316307,3844870,4709841
"2012年4月4日",232061472,606311638,6795159,250920528,46139284,222692144,4097431,241775986,118662434,0,99888,316307,3859455,4709841
"2012年4月5日",232285585,608248576,6795159,251151969,46174267,223944220,4097431,242240930,118735880,0,99888,316307,3860710,4709841
"2012年4月6日",232751741,610343468,6795159,251584245,46338757,224419256,4105139,242991812,118940918,0,99888,316307,3860710,4709841
"2012年4月7日",233462910,611708368,6799139,252177202,46450840,225145909,4105139,243829921,121251709,0,560257,316307,3865340,4709841
"2012年4月8日",233822893,612041850,6808590,253213612,46686573,225740069,4135416,244460718,121425676,0,560257,376430,3877179,4709841
"2012年4月9日",234154197,612873425,6849206,253470597,46786163,226454883,4135416,244884682,121621689,0,560257,376430,3877179,4709841
"2012年4月10日",234544426,613251762,6849206,253815804,46806836,226755732,4135416,245237208,122008014,0,560257,376430,3938219,4709841
"2012年4月11日",235183847,613734119,6850372,254296224,46846786,227216055,4135416,245753800,122157417,0,560257,376430,3938219,4709841
"2012年4月12日",235477016,614921489,6850372,254698846,46955580,227952551,4135416,246269898,122233119,0,560257,376430,3938219,5171293
"2012年4月13日",235945056,616539427,6854613,255779222,47882135,228450098,4139165,246906408,122275362,0,560257,376430,3938219,5171293
"2012年4月14日",236267345,616838638,6854613,256263703,48114639,229843729,4142670,247436018,122467044,0,560257,398716,3939745,5171293
"2012年4月15日",236727034,617202258,6854613,256766073,48172549,230379002,4990814,247825459,122862068,0,560257,398716,3939745,5171293
"2012年4月16日",237030857,617679003,6902524,257105315,48186167,230868152,4996391,248293857,123014730,0,560257,398716,3975035,5171293
"2012年4月17日",237411464,618016884,6904018,257465543,48340633,231271095,4996391,248731632,123150601,0,560257,398716,3975035,5171293
"2012年4月18日",237698241,618368228,6915405,258045238,48373348,231808113,4996391,249090708,123186225,0,560257,398716,3975035,5337892
"2012年4月19日",237980584,619558173,6915405,258755034,48410287,232514918,4996391,250367889,123236973,0,560257,398716,4007333,5337892
"2012年4月20日",239210629,621081863,6920567,259238511,48762909,232934495,4996391,251335502,123488820,0,584013,398716,4022478,5337892
"2012年4月21日",239643819,621347431,6920567,260000118,48791351,234275940,5022101,251684110,125475137,0,584013,451902,4035198,5337892
"2012年4月22日",240391014,621463995,6920567,260284295,48964732,235338203,5029105,252041382,125550746,0,584013,451902,4038099,5337892
"2012年4月23日",241342563,621953574,6920567,262074328,49002837,235613540,5029105,252703489,125650956,0,584013,471674,4038099,5337892
"2012年4月24日",241591186,622121847,6920567,262420823,49429455,235972093,5034122,253004527,125972222,0,584013,471674,4054334,5337892
"2012年4月25日",241939906,622393490,6920567,262879002,49479828,236824541,5034122,253304828,126373048,0,584013,474351,4061254,5337892
"2012年4月26日",242228119,623614474,6920567,263260501,49518207,238692040,5034122,253641804,126378985,0,584013,474351,4061254,5337892
"2012年4月27日",242625959,624820137,6920567,263700787,49533415,239419613,5034122,254067465,126448986,0,584013,474351,4061254,5337892
"2012年4月28日",243108819,624912866,6923872,263980244,49620078,239970970,5034122,254473613,126521682,0,584013,474351,4302008,5337892
"2012年4月29日",243661711,625323171,6923872,265210864,49726787,241095853,5034122,255413101,126789620,0,584013,474351,4302008,5337892
"2012年4月30日",244241835,626145298,6929041,265811873,49776701,242506045,5044283,256165327,127035668,0,584013,474351,4359614,5337892
"2012年5月1日",245160578,626290876,6952841,266584958,49947972,243492965,5045175,256730202,127241374,0,584013,474351,4378157,5337892
"2012年5月2日",245738407,627665307,6952841,266932858,49995512,244066299,5045175,257574677,127422607,0,584013,474351,4378157,5338632
"2012年5月3日",246075127,628790067,6971475,267278952,50232082,244635781,5045175,258074146,127694495,0,584013,474351,4404509,5338632
"2012年5月4日",246571908,630750144,6971475,267823454,50379811,246281258,5045175,258510696,128100482,0,584013,474351,4438142,5387438
"2012年5月5日",247443079,631259297,6975640,268502560,50613580,246665970,5045175,259517499,128245117,0,584013,562775,4463414,5387438
"2012年5月6日",247982317,631745548,6982005,269041886,50673608,247762767,5046235,260012611,128309631,0,584013,568610,4469138,5387438
"2012年5月7日",248320127,632191356,6982005,269800584,50827365,249118853,5046235,260519007,128348955,0,584013,568610,4470430,5387438
"2012年5月8日",248566479,636709721,7070827,270430426,50861598,250564990,5047511,261077180,128438197,0,584013,568610,4470430,5387438
"2012年5月9日",249204016,637510489,7070827,270848369,50948718,251176928,5047511,263538708,129455731,0,584013,568610,4470430,5387438
"2012年5月10日",249755487,638630551,7070827,271134554,51029431,251539358,5047511,264051939,129536531,0,584013,568610,4470430,5387438
"2012年5月11日",250636685,639764023,7074582,272925659,51096649,252218447,5888195,264492383,129774914,0,584013,568610,4492828,5387438
"2012年5月12日",251998690,639901530,7158740,273329874,51244148,253298261,5988638,265127001,129822273,0,584013,568610,4492828,5387438
"2012年5月13日",252663732,640043612,7163186,274063312,51344356,253940596,6005909,265440007,130149619,0,584013,568610,4492828,5387438
"2012年5月14日",253246432,640538396,7163186,274412231,51479454,254868730,6005909,266457332,130225109,0,584013,568610,4506347,5387438
"2012年5月15日",253911113,640980505,7163186,274782603,51703502,255178001,6016863,267169445,130280598,0,584013,568610,4506347,5387438
"2012年5月16日",254304785,641220808,7163186,275415032,51758937,255658974,6016863,267577613,130370585,0,584013,568610,4506347,5410019
"2012年5月17日",254776433,642395161,7230821,275995216,51821297,256104508,6018996,268141506,130540205,0,584013,568610,4514986,5410019
"2012年5月18日",255299806,642936152,7230821,276761344,52324858,256708390,6058862,269335046,130607325,0,584013,568610,4514986,5472755
"2012年5月19日",255882442,644316543,7234555,277149876,52461428,258151597,6069365,269758830,131184572,0,584013,568610,4514986,5507989
"2012年5月20日",256496332,644800766,8026319,277476810,52622401,259150527,6069365,270689004,131284299,0,639549,568610,4515616,5507989
"2012年5月21日",257140071,646362094,8026319,278034285,52654550,259535751,6069365,271261244,131577234,0,639549,568610,4520185,5585132
"2012年5月22日",257622119,647142643,8028624,278245301,52669974,260319566,6073421,271749402,131650948,0,639549,568610,4551915,5667867
"2012年5月23日",258326864,647578559,8036230,278625964,52712725,260724542,6073421,272349805,131692958,0,639549,568610,4551915,5672760
"2012年5月24日",258576844,648644208,8036605,278955348,52875752,261788855,6075790,273099324,131916006,0,639549,568610,4551915,5672760
"2012年5月25日",259360682,649272054,8036605,279646504,52950721,262583687,6085848,273652233,132015300,0,639549,568610,4553029,5672760
"2012年5月26日",259732228,649393398,8040602,280260118,53219871,264401400,6102810,274023858,132164274,0,639549,568610,4553029,5672760
"2012年5月27日",261035739,649751563,8060756,280500438,53362381,264790771,6102810,274440938,132209850,0,639549,1563676,4563615,5676729
"2012年5月28日",261503182,650376261,8062302,280963493,53470525,265366810,6102810,275049049,132472606,0,639549,1582720,4588090,5676729
"2012年5月29日",262634649,650503438,8062302,281206574,53511681,265774565,6109201,275600079,132531626,0,639549,1589919,4588090,5743286
"2012年5月30日",264091813,650933607,8062302,281588396,53764843,266554966,6109201,276155538,132580534,0,639549,1589919,4588090,5743286
"2012年5月31日",264483346,651861388,8062302,281829375,53813589,269268949,6115079,276508556,132678420,0,639549,1589919,4588090,5801178
"2012年6月1日",265036810,652122780,8073716,282284703,53867182,270091936,6126391,278124330,132714736,0,639549,1589919,4598961,5801178
"2012年6月2日",266582597,656499619,8075366,283175698,53939229,271793316,6126391,278708883,132772092,0,639549,1589919,4602128,5801178
"2012年6月3日",267441865,656683077,8076549,283555693,54038030,273138485,6131296,279227027,133073365,0,639549,1589919,4602128,5801178
"2012年6月4日",268067789,657202535,8077316,284380164,54075078,273604089,6139628,279396109,133107908,0,639549,1589919,4602128,5801178
"2012年6月5日",268333314,657901622,8077316,285198901,54243421,274210978,6142802,279819510,133127812,0,639549,1589919,4602128,5801178
"2012年6月6日",269007525,658291997,8084627,285891249,54434868,274553417,6142802,280230300,133189342,0,692268,1589919,4607133,5801178
"2012年6月7日",269463840,659894229,8084627,286191413,54685780,275090182,6147802,280778924,133370352,0,692268,1589919,4614297,5808912
"2012年6月8日",270117113,660290667,8109374,286503856,54754530,276018925,6193885,281296594,133392809,0,692268,1589919,4616297,5819979
"2012年6月9日",271023850,660511286,8588247,287193146,54858560,278181774,6802656,281978337,133494765,0,692268,1589919,4645227,5850511
"2012年6月10日",271805096,661440844,8588247,288469777,54877725,278699586,7027681,282428720,133694075,0,692268,1639124,4650928,5913851
"2012年6月11日",272416207,661914002,9968011,288842472,55118997,279057104,7340993,282897835,134129180,0,692268,1639124,4650928,6028057
"2012年6月12日",272922661,662068218,9968011,289297009,55138703,280160688,8003263,284437077,134227573,0,708126,1639124,4650928,6028057
"2012年6月13日",273221930,662410921,9968011,289478822,55269629,280663766,8196994,284900439,134266891,0,708126,1639124,4650928,6033867
"2012年6月14日",273821699,662500313,9968011,290461943,55362656,281316083,8412021,285368222,134416614,0,708126,1639124,4655444,6033867
"2012年6月15日",274279551,662946252,9968970,290950752,55548414,282189189,8619863,286550580,134697725,0,708126,1650151,4720988,6049358
"2012年6月16日",274931092,663343978,9976645,291523396,55605145,282696268,9491175,287086536,135443959,0,708126,1655754,4720988,6086975
"2012年6月17日",275476488,663596845,9976645,291885139,55675933,283752186,9560740,287540137,135787777,0,708126,1655754,4800965,6129618
"2012年6月18日",276128817,664336722,9979205,292272847,55702996,285954206,9682079,288150818,135825663,0,708126,1658054,4800965,6322637
"2012年6月19日",276418442,664520268,9979205,292789588,55782295,286955442,9793241,288570600,135997677,0,708126,1658054,4947224,6328157
"2012年6月20日",277135333,664839274,9979205,293417403,55803438,287651455,9994198,289034671,136302753,0,708126,1658054,4967230,6351194
"2012年6月21日",277808973,664874893,9979205,293832924,55849097,287999813,10447252,289901025,137469045,0,708126,1658054,4970705,6444510
"2012年6月22日",278293027,665880220,10006324,294899321,56156016,288656871,10647569,290551376,137661422,0,713118,1658054,4970705,6444510
"2012年6月23日",278842391,665983521,10007027,295636994,56236885,289593849,10899470,291222770,137855237,0,716615,1658054,4987449,6454253
"2012年6月24日",279637957,666100168,10007027,296198565,56340457,290022918,11254147,292115677,138086173,0,716615,1662614,4989579,6454253
"2012年6月25日",280166099,666624000,10007027,296683690,56362600,290782944,11366546,292656191,138114093,0,716615,1662614,5006681,6454253
"2012年6月26日",280868873,666791108,10007027,297073760,56415852,291351527,12239028,293033604,138147978,0,716615,1662614,5009245,6461057
"2012年6月27日",281409112,667250450,10007027,297390935,56463723,292090973,12331268,293571519,138172378,0,716615,1662614,5029611,6493157
"2012年6月28日",281766257,667337819,10009555,297752282,56476792,292863112,12491849,294187167,138274933,0,716615,1662614,5051911,6493157
"2012年6月29日",282155116,669835345,10026268,298689529,56659949,293275487,12663359,294586430,138376510,0,716615,1662614,5051911,6493157
"2012年6月30日",283209663,670064666,10026268,299092970,56726071,294231425,13052516,295208318,138593953,0,716615,1662614,5051911,6502415
"2012年7月1日",284042194,670322610,10026268,299572406,56762732,294974867,13278476,295620866,138795704,0,716615,1666317,5066124,6507090
"2012年7月2日",284361953,671430858,10036264,299876746,56810388,295376478,13986926,296586632,138956023,0,716615,1666317,5119468,6507090
"2012年7月3日",285021591,671568327,10036264,300258651,56898804,295846877,14087838,296906625,139132589,0,716615,1670571,5141715,6507090
"2012年7月4日",285358356,671655373,10036264,300733178,56969227,296779796,14480576,297125846,139384969,0,716615,1690734,5143476,6507090
"2012年7月5日",285641736,671723279,10039714,301018269,57003741,297362232,14600639,297520419,139448125,0,716615,1690734,5176293,6843965
"2012年7月6日",286465999,673637441,10046711,301311446,57052656,297897797,14636955,298171934,139567773,0,716615,1690734,5196232,6843965
"2012年7月7日",286916151,674116666,10049618,301657961,57108756,298751542,14832038,298691501,139683176,0,716615,1690734,5206612,6844415
"2012年7月8日",287531012,675141254,10065061,302263481,57171897,299195012,15022741,299043613,139844309,0,716615,1693972,5225151,6915399
"2012年7月9日",289425941,675547578,10065061,302673134,57290932,299730014,15250016,299679262,139902217,0,716615,1693972,5240118,6915399
"2012年7月10日",289995640,675651353,10084869,303290596,57407051,300181568,15320875,300338628,140074801,0,716615,1693972,5240118,6915399
"2012年7月11日",290717988,676268509,12368693,304487933,57472231,300593495,15845011,300912474,140136351,0,716615,1696978,5248596,6924467
"2012年7月12日",291590446,677667573,12368693,305393279,57529949,301394008,16424673,301649731,140183003,0,720296,1696978,5264066,6936911
"2012年7月13日",293165655,678660244,12669986,307630527,57586114,302313636,16664058,302104326,140313119,0,720296,1698513,5323460,6936911
"2012年7月14日",294098262,678745554,12669986,307929703,57738933,302858473,16742844,302578319,140332867,0,720296,1698513,5339732,7073920
"2012年7月15日",294783664,679714370,12674040,308512178,57788654,303618371,17762089,303181505,140431693,0,720296,1701916,5377281,7180737
"2012年7月16日",295679092,680026521,12677919,309463117,57898738,304568758,18034908,303720224,140665976,0,720296,1701916,5378827,7260576
"2012年7月17日",296088217,680152702,12677919,309863823,57992986,305374481,19530760,304391346,140740681,0,720296,1701916,5389840,7311801
"2012年7月18日",296885065,680386269,12684203,311165610,58061699,306177377,19866887,305064165,140777158,0,720296,1701916,5389840,7311801
"2012年7月19日",297533761,682292638,12684203,312392244,58224284,307164285,19994887,305711210,140973256,0,720296,1701916,5556715,7368642
"2012年7月20日",298172286,682618779,12691017,313818413,58256166,308284553,20072758,306774353,141084289,0,728931,1701916,5663940,7444553
"2012年7月21日",298848788,683490580,12691017,315030681,58314063,308983801,20517928,307907005,141255338,0,728931,1701916,5663940,7447098
"2012年7月22日",300709771,685003055,12691017,317562985,58384462,309305404,20654591,308211565,141397983,0,728931,1705551,5677622,7484635
"2012年7月23日",301766231,685329712,12691017,318199672,58461331,311308985,20756542,309680558,141878000,0,728931,1705551,5678882,7534126
"2012年7月24日",302459453,685524673,12830371,319005963,58514085,312308411,20880740,310782490,141970953,0,728931,1705551,5681401,7694670
"2012年7月25日",303185769,686019484,12830371,320084681,58605724,312859510,21133402,311506880,142358913,0,728931,1705551,5686619,7707125
"2012年7月26日",303764880,686032572,12840629,321407964,58801709,313476874,21267498,312560585,142685353,0,728931,1705551,5705771,7821209
"2012年7月27日",304394409,686696995,12938613,322573433,59043803,314487218,21384019,313024112,142771184,0,728931,1705551,5755985,7872603
"2012年7月28日",305258283,688456372,12938613,323780181,59129867,315058271,21562283,313772803,142963044,0,728931,1705551,5855461,8052656
"2012年7月29日",305826378,689142775,12938613,324884930,59227934,316283786,22110413,314765362,143014805,0,728931,1711367,5855461,8091239
"2012年7月30日",306629730,689401983,12938613,325324040,59233434,316867975,22246193,315700135,143081363,0,728931,1711367,5869122,9076456
"2012年7月31日",307868289,689619112,12938613,326078174,59255362,318322609,22489564,316511423,143154478,0,728931,1711367,5895413,9438579
"2012年8月1日",308335687,689656683,12939351,326700394,59422971,319141094,22565728,316863973,143300296,0,728931,1711367,5902440,9510846
"2012年8月2日",309292997,689691917,13038909,327293320,59466775,319887813,22806366,317725792,143349431,0,728931,1711367,5924422,9510846
"2012年8月3日",309879984,689886004,13046490,327815693,59660709,320433025,22955313,318302327,143451499,0,728931,1711367,5932768,9510846
"2012年8月4日",310276754,690193424,13046490,329476604,60004369,321457148,23067907,319403836,143732791,0,732474,1711367,5953994,9510846
"2012年8月5日",311028847,690758228,13046490,329957305,60044917,322941171,23114773,320415232,143813771,0,732474,1711367,5983640,9513150
"2012年8月6日",311919987,691011798,13046490,330302736,60086534,323621009,23477690,321204034,144364273,0,732474,1711367,6007878,9577638
"2012年8月7日",312397928,691256254,13128681,330870821,62041575,324178548,23968180,321810229,144415072,0,732474,1711367,6019895,9577638
"2012年8月8日",312969701,691698675,13128681,331778312,62114369,324763495,24100406,322260606,144578850,0,732474,1711367,6019895,9618443
"2012年8月9日",313977105,691906047,13128681,332877808,62158552,325555260,24341894,323610454,145048325,0,734580,1711367,6028565,9647491
"2012年8月10日",315065954,692839246,13139113,333902079,62263976,326330257,24493620,324222984,145104132,0,734580,1711367,6046411,9656183
"2012年8月11日",316752141,693387686,13139113,337307387,62286074,326978940,24657101,324844727,145275406,0,734580,1711367,6054050,9662387
"2012年8月12日",317321626,693917197,13139113,338092261,62329823,327729571,25178497,325564531,145316129,0,734580,1711367,6270419,9676112
"2012年8月13日",318082982,694407348,13175707,339466066,62428667,328207468,25394044,326339300,145391697,0,734580,1711367,6272098,9678323
